record_id	source_record_id	paper_id	article_path	article_sha256	article_bytes	xml_path	xml_sha256	xml_bytes	coverage_reason
V2-P039	G039	10.1007/s10198-025-01823-1	corpus/1462-PHD/doi_10.1007_s10198-025-01823-1.md	949690fcd6808e4d6dd65cd7417fd63e83f446e6ede0a3fce9fdfadf605ffe91	48411	input/projects/1462-PHD/papers/doi_10.1007_s10198-025-01823-1.xml	656eac5a600d3e37a992378ab104f8fb15a1de950ada17b0daa03ebbbdc3047f	88860	frozen 209-paper JATS corpus
V2-P040	G040	10.1007/s10198-025-01857-5	corpus/2003-RA/doi_10.1007_s10198-025-01857-5.md	b53e9b61e4713e6b1daf9bd625975ad834cc7f2abe0b2c94972735a7541c073b	58123	input/projects/2003-RA/papers/doi_10.1007_s10198-025-01857-5.xml	96f2d67bf07bfe743e95bb6a3f729349281c851fad33d82b8700a54488019652	92342	frozen 209-paper JATS corpus
V2-P041	G041	10.1007/s11136-016-1445-9	corpus/2013240/doi_10.1007_s11136-016-1445-9.md	f908c91c08b380a0eccedaf7100b6f909ca4908c16ce1ecb076e5c7371c186e8	60714	input/projects/2013240/papers/doi_10.1007_s11136-016-1445-9.xml	70ce25ed2466f0010c5f2da6ed8e603ddbd2584c6ba1c3547361239f4226ddf2	98541	frozen 209-paper JATS corpus
V2-P042	G042	10.1007/s11136-019-02156-2	corpus/2016670/doi_10.1007_s11136-019-02156-2.md	e77f4bf23685b0d13690d0f76104898ee4a0985661de8ad78980ddf20e2c26f6	49777	input/projects/2016670/papers/doi_10.1007_s11136-019-02156-2.xml	8c3c80e8349ee8184f686ac0159ba70d7a0b7b490554cfab0f41fc87aad69df5	88452	frozen 209-paper JATS corpus
V2-P043	G043	10.1007/s11136-020-02496-4	corpus/2016670/doi_10.1007_s11136-020-02496-4.md	6acb8bc2ef722590ce60586781b89d8691c8a201d3e2c0d88a983f0bf85a7a36	56550	input/projects/2016670/papers/doi_10.1007_s11136-020-02496-4.xml	0d216a910ceabbe95c6e992b79ce10ba1344ea1038eb944ffe4f7b278411961d	107568	frozen 209-paper JATS corpus
V2-P044	G044	10.1007/s11136-021-03069-9	corpus/315-RA/doi_10.1007_s11136-021-03069-9.md	3389dd520659e9642a705cb342a7cfa8394a17c0c832a00ca51e7a9dd98d3ded	58405	input/projects/315-RA/papers/doi_10.1007_s11136-021-03069-9.xml	1e2aa799eb4412323869df9ceafb5d5e7bf4127166481f67e5afc6bdfaa7d778	111020	frozen 209-paper JATS corpus
V2-P045	G045	10.1007/s11136-022-03143-w	corpus/20170230/doi_10.1007_s11136-022-03143-w.md	46d0f00f212245e79881157ce40772fb02cf005ab31d7fdf5bdd9eeb7560f719	59654	input/projects/20170230/papers/doi_10.1007_s11136-022-03143-w.xml	2f9086c54f5783e702544bf557fbd8a4c678c2026dca42390cccb80e5497d6ad	119406	frozen 209-paper JATS corpus
V2-P046	G046	10.1007/s11136-023-03372-7	corpus/229-RA/doi_10.1007_s11136-023-03372-7.md	43776122c0907494fec280c0efc88967aac18838ecd4f7c7d7fcefcf84b78894	74378	input/projects/229-RA/papers/doi_10.1007_s11136-023-03372-7.xml	44a7e2b09a218904ba81a952773eee2349e419f28a396c274bade8d953cc5885	113836	frozen 209-paper JATS corpus
V2-P047	G047	10.1007/s11136-024-03770-5	corpus/1612-RA/doi_10.1007_s11136-024-03770-5.md	d02dc1ce63b89816fd52615b86d20a31331905b73e4e44f0d09a59e47f3edf57	47993	input/projects/1612-RA/papers/doi_10.1007_s11136-024-03770-5.xml	700fb82b14fb2167bcf102c9d6be5bebebd3f331aae6967252916502f681c253	93996	frozen 209-paper JATS corpus
V2-P048	G048	10.1007/s11136-025-03917-y	corpus/401-RA/doi_10.1007_s11136-025-03917-y.md	eeabd3663904bad836797acd1c6fc8c8a5c04853c21884595173876738829651	56224	input/projects/401-RA/papers/doi_10.1007_s11136-025-03917-y.xml	fdb6ec60509414c1fc951c3f9b38d94548155802a599dc34ce74da45fda03798	120015	frozen 209-paper JATS corpus
