project_id,project_title,principal_investigator,working_group,start_year,publication_id,doi,publication_title,publication_year,journal
1508-RA,### **USING THE OPUF APPROACH TO CREATE A VALUE SET FOR THE EQ-HWB-S – AN EXPLORATIVE FEASIBILITY STUDY**,Paul Schneider,"Valuation, EQ-HWB",2022,doi:10.1016/j.jval.2023.12.009,10.1016/j.jval.2023.12.009,Using the Online Elicitation of Personal Utility Functions Approach to Derive a Patient-Based 5-Level Version of EQ-5D Value Set: A Study in 122 Patients With Rheumatic Diseases From Germany,2023,Value in Health
1508-RA,### **USING THE OPUF APPROACH TO CREATE A VALUE SET FOR THE EQ-HWB-S – AN EXPLORATIVE FEASIBILITY STUDY**,Paul Schneider,"Valuation, EQ-HWB",2022,doi:10.1017/s0266462324001363,10.1017/s0266462324001363,OP79 Innovations In Measuring And Valuing Outcomes: Generating Preferences For The EQ Health And Wellbeing Short,2024,International Journal of Technology Assessment in Health Care
1508-RA,### **USING THE OPUF APPROACH TO CREATE A VALUE SET FOR THE EQ-HWB-S – AN EXPLORATIVE FEASIBILITY STUDY**,Paul Schneider,"Valuation, EQ-HWB",2022,doi:10.12688/wellcomeopenres.21408.1,10.12688/wellcomeopenres.21408.1,Using the OPUF approach to create a value set for the EQ-HWB-S: An exploratory feasibility study,2024,Wellcome Open Research
1508-RA,### **USING THE OPUF APPROACH TO CREATE A VALUE SET FOR THE EQ-HWB-S – AN EXPLORATIVE FEASIBILITY STUDY**,Paul Schneider,"Valuation, EQ-HWB",2022,doi:10.12688/wellcomeopenres.21408.2,10.12688/wellcomeopenres.21408.2,"Using the OPUF approach to create a value set for the EQ-HWB-S: An exploratory feasibility study [version 2; peer review: 1 approved, 1 approved with reservations]",2026,Wellcome Open Research
1514-RA,Comparing Measurement Properties of the EQ Health and Wellbeing Experimental Version (Long and Short) and the EQ-5D-5L in the Italian Population,Maja Kuharic,"Descriptive Systems, EQ-HWB",2022,doi:10.1016/j.jval.2024.03.002,10.1016/j.jval.2024.03.002,The Measurement Properties of the EQ-HWB and the EQ-HWB-S in Italian Population: A Comparative Study With EQ-5D-5L,2024,Value in Health
1517-RA,EQ-5D for proxy assessment of nursing home residents: A systematic review of feasibility and measurement properties,Nan Luo,Descriptive Systems,2022,doi:10.1016/j.jamda.2023.10.020,10.1016/j.jamda.2023.10.020,Using EQ-5D for Proxy Assessment of Health-Related Quality of Life in Residential Care Facilities: A Systematic Review of Feasibility and Psychometric Properties,2023,Journal of the American Medical Directors Association
152-RA,Head-to-head comparison of the EQ-5D-3L and EQ-5D-5L: Psychometric properties in Dementia,Bernhard Michalowsky,Descriptive Systems,2020,doi:10.1186/s12955-022-02049-y,10.1186/s12955-022-02049-y,Comparing the psychometric properties of EQ-5D-3L and EQ-5D-5L proxy ratings by informal caregivers and a health professional for people with dementia,2022,Health and Quality of Life Outcomes
152-RA,Head-to-head comparison of the EQ-5D-3L and EQ-5D-5L: Psychometric properties in Dementia,Bernhard Michalowsky,Descriptive Systems,2020,doi:10.3233/jad-210421,10.3233/jad-210421,Psychometric Properties of EQ-5D-3L and EQ-5D-5L in Cognitively Impaired Patients Living with Dementia,2021,Journal of Alzheimer s Disease
1524-VS,UK valuation of the EQ-5D-5L,Donna Rowen,Valuation,2022,doi:10.1016/j.jval.2023.08.005,10.1016/j.jval.2023.08.005,"UK Valuation of EQ-5D-5L, a Generic Measure of Health-Related Quality of Life: A Study Protocol",2023,Value in Health
1524-VS,UK valuation of the EQ-5D-5L,Donna Rowen,Valuation,2022,doi:10.1016/j.jval.2026.03.008,10.1016/j.jval.2026.03.008,A United Kingdom Value Set for the EQ-5D-5L,2026,Value in Health
1530-RA,Re(re)visiting negative composite time trade-off utilities – can threshold hypothesis really save the day?,Michał Jakubczyk,Valuation,2022,doi:10.1177/0272989x231201147,10.1177/0272989x231201147,Re-revisiting the Utilities of Health States Worse than Dead: The Problem Remains.,2023,PubMed
1535-RA,Comparing a new TTO method with cTTO for valuation of EQ-5D-5L health states in a general population sample,Nan Luo,Valuation,2022,doi:10.1016/j.jval.2024.05.009,10.1016/j.jval.2024.05.009,Testing “Pits” Time Trade-Off: Can Data Quality be Improved by Removing Death From Valuation of Health States?,2024,Value in Health
1543-RA,VMC proposal for developmental work to support development of gender neutral language in the EuroQol suite of measures,Sarah Derrett,Others,2022,doi:10.1007/s11136-024-03765-2,10.1007/s11136-024-03765-2,He/She/They - gender inclusivity in developing and using health-related questionnaires: a scoping review.,2025,PubMed
155-RA,"Performance of the EQ-5D in the European aging population – A study on measurement properties, population norms, health inequalities and determinants of health in a large representative sample of European adults aged 55+ using the SHARE-data",Bas (MF) Janssen,Populations and Health Systems,2020,doi:10.1007/s11136-022-03158-3,10.1007/s11136-022-03158-3,Feasibility and validity of the EQ-5D-3L in the elderly Europeans: a secondary data analysis using SHARE(d) data,2022,Quality of Life Research
155-RA,"Performance of the EQ-5D in the European aging population – A study on measurement properties, population norms, health inequalities and determinants of health in a large representative sample of European adults aged 55+ using the SHARE-data",Bas (MF) Janssen,Populations and Health Systems,2020,doi:10.1016/j.jval.2022.09.2478,10.1016/j.jval.2022.09.2478,"EQ-5D-3L Norms for the European Older Population: Country-Specific Norms for 15 European Countires Based on the Survey of Health, Ageing, and Retirement in Europe",2022,Value in Health
1559-RA,Testing the validity of the EQ-HWB-s in caregivers of children with health conditions,Dr Cate Bailey,"Descriptive Systems, EQ-HWB",2023,doi:10.1007/s40271-025-00749-3,10.1007/s40271-025-00749-3,Content Validity of the EQ-HWB in Caregivers of Children with Health Conditions,2025,The Patient
1559-RA,Testing the validity of the EQ-HWB-s in caregivers of children with health conditions,Dr Cate Bailey,"Descriptive Systems, EQ-HWB",2023,doi:10.1016/j.jval.2025.05.013,10.1016/j.jval.2025.05.013,Validity and Reliability of the EQ-HWB in Parents of Children With Health Conditions,2025,Value in Health
1566-RA,Examining the psychometric performance of the EQ-HWB in caregivers of persons living with dementia.,Cate Bailey,"Descriptive Systems, EQ-HWB",2023,doi:10.1016/j.jval.2025.04.2168,10.1016/j.jval.2025.04.2168,The Psychometric Performance of the EQ Health and Wellbeing in Caregivers of Persons Living With Dementia,2025,Value in Health
1569-RA,The long CORona Follow-Up Study (long CORFU): long-term outcomes and health-related quality of life of long COVID patients,Sander van Kuijk,"Descriptive Systems, Populations and Health Systems",2023,doi:10.1007/s11136-025-04090-y,10.1007/s11136-025-04090-y,Health-related quality of life of adult post COVID-19 condition patients three years after infection and patient characteristics associated with change over time: a longitudinal analysis from the CORFU study,2025,Quality of Life Research
1569-RA,The long CORona Follow-Up Study (long CORFU): long-term outcomes and health-related quality of life of long COVID patients,Sander van Kuijk,"Descriptive Systems, Populations and Health Systems",2023,doi:10.1016/j.jval.2026.02.016,10.1016/j.jval.2026.02.016,Psychometric Properties of the EQ-5D-5L in Post-COVID-19 Condition: Results From the Long CORFU Study,2026,Value in Health
1572-RA,"Acceptability, validity and responsiveness of the EQ-5D-3L in people with multiple sclerosis: A psychometric analysis of data from the UK MS Register",Elizabeth Tompkins (known as Elizabeth Goodwin),Descriptive Systems,2023,doi:10.1007/s11136-026-04229-5,10.1007/s11136-026-04229-5,"Measuring health-related quality of life in multiple sclerosis: comparing the acceptability, validity and responsiveness of the EQ-5D-3L and MSIS-8D",2026,Quality of Life Research
1578-RA,Redundancy in HRQoL algorithms: conceptual and empirical challenges,Richard Norman,Valuation,2022,doi:10.1007/s40273-025-01476-1,10.1007/s40273-025-01476-1,A Taxonomy for Assessing Whether HRQoL Value Sets Are Obsolete,2025,Pharmacoeconomics
1580-RA,"Exploring subjective constructions of quality of life as defined by EQ-HWB in patients, carers and the healthy general publics: a Q-methodological study",Zhuxin Mao,"Descriptive Systems, EQ-HWB",2023,doi:10.1007/s11136-025-04045-3,10.1007/s11136-025-04045-3,"Exploring subjective constructions of quality of life in patients, carers and the healthy general public: a Q-methodological study",2025,Quality of Life Research
1582-RA,Discrepancies between EQ-5D-5L self- and proxy ratings in dementia,Maresa Buchholz,Descriptive Systems,2023,doi:10.1002/alz.089782,10.1002/alz.089782,Health‐related Quality of Life in People living with Dementia – Over and Underestimation of Proxy‐ratings,2024,Alzheimer s & Dementia
1582-RA,Discrepancies between EQ-5D-5L self- and proxy ratings in dementia,Maresa Buchholz,Descriptive Systems,2023,doi:10.1002/trc2.12486,10.1002/trc2.12486,Discrepancies between self‐ and proxy‐rated quality of life in people living with dementia,2024,Alzheimer's & Dementia : Translational Research & Clinical Interventions
1585-RA,Making composite time trade-off method sensitive for worse-than-dead states,Michał Jakubczyk,Valuation,2023,doi:10.1007/s40273-025-01471-6,10.1007/s40273-025-01471-6,Making Composite Time Trade-Off Sensitive for Worse-than-Dead Health States,2025,Pharmacoeconomics
1591-RA,A Systematic Scoping Review to Sythesise Evidence on Health-Related Quality of Life Measures in Africa,Begashaw Melaku Gebresillassie,"Populations and Health Systems, Education and Outreach",2023,doi:10.1186/s41687-026-01100-6,10.1186/s41687-026-01100-6,Mapping health-related quality of life measurement tools in Africa: a scoping review,2026,Journal of Patient-Reported Outcomes
